id,kata alay,kode
104,abbott,A330T
105,abdelaziz,A334Z
106,abdimah,A335H
107,abdinegara,A335A
108,abduk,A333K
109,abdulaziz,A334Z
110,abdulhalimiskandar,A334R
111,abdulkadir,A334R
112,abdullahazwaranas,A334S
113,abdullahwong,A334G
114,abdurarsyad,A336D
115,abduzeedo,A332O
116,abe,A300E
117,abee,A300E
118,abel,A340L
119,abelih,A342H
120,abell,A340L
121,abelss,A342S
122,abequynwhb,A321B
123,abequynwhbpelatihan,A321N
124,abg,A330G
125,abgbugil,A334L
126,abggota,A333A
127,abghot,A332T
128,abgindo,A335O
129,abhishek,A322K
130,abiez,A320Z
131,abiezzaku,A323U
132,abiezzzzz,A320Z
133,abigail,A334L
134,abigailchvli,A334I
135,abighya,A332A
136,abiis,A320S
137,ability,A343Y
138,abinegara,A353A
139,abisbiar,A326R
140,abiscepeet,A323T
141,abisin,A325N
142,abiskalau,A323U
143,abiskan,A323N
144,abiskansono,A323O
145,abisnya,A325A
146,abissukses,A323S
147,abistu,A323U
148,abisyah,A321H
149,abix,A320X
150,abjar,A336R
151,abjecto,A333O
152,abk,A330K
153,abkdiamondprincess,A333S
154,abkdiamondprincesss,A333S
155,abkworlddream,A331M
156,able,A340E
157,abn,A350N
158,aboe,A300E
159,abolish,A342H
160,abominable,A355E
161,abonokgxl,A353L
162,abonokgxlnasib,A353B
163,abor,A360R
164,aborrr,A360R
165,abortion,A363N
166,about,A330T
167,aboutcirebon,A333N
168,above,A320E
169,abpalpvws,A334S
170,abpalpvwssejumlah,A334H
171,abraar,A360R
172,abramov,A365V
173,abramovic,A365C
174,abrutwmr,A363R
175,abrutwmrtidak,A363K
176,abs,A320S
177,absennya,A325A
178,abshor,A322R
179,absinthe,A325E
180,absolutely,A324Y
181,abtbrrsix,A336X
182,abtbrrsixtransit,A336T
183,abud,A330D
184,abudabi,A330I
185,abuker,A336R
186,abuna,A350A
187,aburizal,A362L
188,aburizalbakrie,A362E
189,abuse,A320E
190,abusers,A326S
191,abusive,A322E
192,abusivevalid,A322D
193,abuti,A330I
194,abwivisvkt,A312T
195,abwowgvk,A313K
196,abwowgvkgubernur,A313R
197,abzmx,A325X
198,abzmxcegah,A325H
199,aca,A300A
200,acabou,A330U
201,acad,A330D
202,academy,A335Y
203,academybinar,A335R
204,acajzdme,A332E
205,acajzdmepliss,A332S
206,acarabandung,A363G
207,acaraki,A363I
208,acarakijamu,A363U
209,acarakikemang,A363G
210,acarakotabatu,A363U
211,acarakuminggato,A363O
212,acaramusikbatal,A365L
213,acbaidowi,A333I
214,acc,A300C
215,accelera,A346A
216,accelerating,A346G
217,accepting,A333G
218,access,A320S
219,accessibility,A323Y
220,accessible,A323E
221,accessmattersnz,A325Z
222,accident,A335T
223,accidental,A335L
224,accidentally,A335Y
225,accidents,A335S
226,accor,A360R
227,accord,A363D
228,according,A363G
229,accordingly,A363Y
230,account,A353T
231,accounting,A353G
232,accounts,A353S
233,accurate,A363E
234,accurateonline,A363E
235,accusations,A323S
236,accused,A323D
237,accuser,A326R
238,accusing,A325G
239,aceatrms,A336S
240,aceatrmsminta,A336A
241,acehasan,A322N
242,acehhebat,A323T
243,acehsehat,A322T
244,acehterapkanjammalam,A323M
245,acevspayde,A322E
246,aceykxhee,A313E
247,aceykxheehai,A313I
248,ach,A320H
249,achamd,A325D
250,achieve,A322E
251,achieveit,A322T
252,achievement,A322T
253,achieving,A322G
254,achirnya,A326A
255,achm,A325M
256,achmad,A325D
257,achmadfauzi,A325I
258,achmadfauzipeduli,A325I
259,achmadyurianto,A325O
260,achmadyuriantomakin,A325N
261,achmadyuriantopasien,A325N
262,achmadyuriantopositif,A325F
263,achor,A326R
264,acid,A330D
265,acityunited,A331D
266,acldvil,A343L
267,acldvilmantap,A343P
268,acmilan,A354N
269,acmilanresmi,A354I
270,acmrpsn,A356N
271,acmrpsndata,A356A
272,acnftbccuk,A352K
273,acoustic,A323C
274,acpcemv,A335V
275,acpcemvgubernur,A335R
276,acqlweyk,A324K
277,acqlweyksiap,A324P
278,acquired,A326D
279,acrbandung,A363G
280,acredito,A363O
281,acrivites,A362S
282,across,A362S
283,acrtrnq,A363Q
284,acrtrnqada,A363A
285,act,A330T
286,actbali,A333I
287,actdiy,A333Y
288,acting,A335G
289,action,A335N
290,actionnya,A335A
291,actions,A335S
292,activations,A332S
293,active,A332E
294,actively,A332Y
295,activist,A332T
296,activites,A332S
297,activities,A332S
298,activiyes,A332S
299,activtek,A332K
300,actor,A336R
301,actors,A336S
302,actout,A330T
303,actress,A336S
304,acts,A332S
305,actually,A334Y
306,acuhkan,A323N
307,acunt,A353T
308,acusa,A320A
309,acute,A330E
310,acuu,A300U
311,acwlapxdr,A314R
312,acwlapxdrdiisi,A314I
313,acwmfzfpl,A315L
314,acwmfzfplhai,A315I
315,acyss,A312S
316,acyssvirus,A312S
317,ad,A300D
318,adaa,A300A
319,adaaa,A300A
320,adaaaa,A300A
321,adaadaaja,A330A
322,adachi,A332I
323,adain,A350N
324,adajgn,A333N
325,adakami,A335I
326,adakynya,A331A
327,adala,A340A
328,adalahmudah,A342H
329,adalaj,A343J
330,adalapenanggalan,A343N
331,adamas,A352S
332,adams,A352S
333,adamschlesinger,A352R
334,adane,A350E
335,adany,A351Y
336,adaorang,A365G
337,adapositif,A332F
338,adaptations,A333S
339,adapula,A334A
340,adararik,A363K
341,adarkhqyy,A363Y
342,adarkhqyylebih,A363H
343,adaro,A360O
344,adax,A320X
345,adayauda,A310A
346,adb,A330B
347,add,A300D
348,added,A300D
349,addict,A333T
350,addiinmedia,A355A
351,additional,A335L
352,addo,A300O
353,addon,A350N
354,address,A362S
355,addressed,A362D
356,addyosmani,A312I
357,adearmando,A365O
358,adebayor,A331R
359,adefannyf,A325F
360,adek,A330K
361,adekku,A330U
362,adekmu,A335U
363,adeknya,A335A
364,adeknyabekyun,A335N
365,adeku,A330U
366,adel,A340L
367,adell,A340L
368,ademsari,A352I
369,ademsebenarnya,A352A
370,adenya,A351A
371,adequate,A323E
372,adesanya,A325A
373,adetailnya,A334A
374,adeuh,A320H
375,adeyasin,A312N
376,adeyasinn,A312N
377,adeyyapa,A313A
378,adhanom,A325M
379,adhi,A320I
380,adhiemassardi,A325I
381,adhisty,A322Y
382,adhistyzara,A322A
383,adian,A350N
384,adiannapitupulu,A353U
385,adiannapitupuluadian,A353N
386,adidas,A320S
387,adie,A300E
388,adielaristo,A346O
389,adiep,A330P
390,adiitoo,A330O
391,adilberarti,A343I
392,adilmenurut,A345T
393,adimazadi,A352I
394,adindakuh,A353H
395,adindakuhtugas,A353S
396,adindasoraya,A352A
397,adinugrooz,A353Z
398,adipatirafiki,A333I
399,adiprasojopr,A336R
400,adirafinanceid,A362D
401,adisasmito,A325O
402,adistri,A323I
403,adisucipto,A323O
404,adisutjipto,A323O
405,aditamamobile,A335E
406,adittyachris,A331S
407,aditya,A331A
408,adityawilly,A331Y
409,adjgmvtq,A333Q
410,adjgmvtqbales,A333S
411,adji,A330I
412,adjidarmo,A336O
413,adjiksaenjaberdikari,A333I
414,adl,A340L
415,adlah,A342H
416,adlh,A342H
417,adm,A350M
418,admin,A355N
419,adminindahartaningsh,A355H
420,administration,A355N
421,adminkaget,A355T
422,adminkalau,A355U
423,adminnaik,A355K
424,adminnya,A355A
425,admintajur,A355R
426,admirer,A356R
427,admit,A353T
428,admitted,A353D
429,admkdsq,A353Q
430,admkdsqkali,A353I
431,admonishing,A355G
432,adnankanedi,A353I
433,adnanpurichta,A353A
434,adnhsn,A352N
435,adnhsnwaduh,A352H
436,adnmjeomvz,A355Z
437,ado,A300O
438,adobe,A330E
439,adobeilustrator,A334R
440,adobephotoshop,A333P
441,adoh,A320H
442,adohadohmu,A325U
443,adohengga,A325A
444,adohhhhh,A320H
445,adohhhhhminggato,A325O
446,adohlos,A324S
447,adohmangga,A325A
448,adohminggato,A325O
449,adohmireooo,A325O
450,adohngat,A325T
451,adohsee,A322E
452,adolescent,A342T
453,adopsiboleh,A332H
454,adopted,A333D
455,adorable,A363E
456,adp,A330P
457,adpbawa,A333A
458,adpgini,A333I
459,adpgw,A333W
460,adpjaman,A333N
461,adpnaah,A335H
462,adpperbuatan,A336N
463,adpsaya,A332A
464,adpsy,A332Y
465,adptraveloka,A333A
466,adr,A360R
467,adrea,A360A
468,adria,A360A
469,adrian,A365N
470,adriano,A365O
471,ads,A320S
472,adsense,A325E
473,adslah,A324H
474,adsolsublimtxxi,A324I
475,adududu,A300U
476,adudududu,A300U
477,aduhh,A320H
478,aduhhh,A320H
479,aduhsekolah,A322H
480,aduin,A350N
481,adul,A340L
482,aduoh,A320H
483,aduohminggat,A325T
484,aduu,A300U
485,advan,A325N
486,advangpro,A325O
487,advania,A325A
488,advantab,A325B
489,advantage,A325E
490,adventure,A325E
491,adversity,A326Y
492,advert,A326T
493,advertisement,A326T
494,advertising,A326G
495,advgxkzq,A323Q
496,advgxkzqberikut,A323T
497,advice,A323E
498,advise,A322E
499,advmieual,A325L
500,advmieualterima,A325A
501,advokasinya,A323A
502,advokator,A323R
503,adxehvxhkv,A322V
504,adxjhgnsy,A323Y
505,adxokvyt,A323T
506,adxokvytbagaimana,A323A
507,adxpsdel,A323L
508,adxpsdelnah,A323H
509,adyt,A313T
510,adzan,A325N
511,adzanin,A325N
512,adzi,A320I
513,adziim,A325M
514,adzim,A325M
515,adzin,A325N
516,adzkyatourtravel,A323L
517,ae,A000E
518,aecepat,A333T
519,aedwnxr,A315R
520,aedwnxrkalian,A315N
521,aee,A000E
522,aeebcgmhp,A333P
523,aeebcgmhppemerintah,A333H
524,aeee,A000E
525,aegananya,A351A
526,aegausah,A322H
527,aehati,A230I
528,aehfzva,A222A
529,aehfzvapasukan,A222N
530,aehoalah,A240H
531,aejancok,A353K
532,aejbfrdzr,A332R
533,aeko,A300O
534,aela,A400A
535,aelaa,A400A
536,aelapegi,A433I
537,aeminggat,A553T
538,aende,A530E
539,aeng,A530G
540,aeon,A500N
541,aepegi,A330I
542,aepulang,A345G
543,aeqcfby,A232Y
544,aeqcfbysetuju,A232U
545,aer,A600R
546,aerith,A632H
547,aerobiklebih,A633H
548,aerospace,A623E
549,aesler,A246R
550,aeterima,A365A
551,aeternaexxiiday,A365Y
552,aetxtkd,A323D
553,aetxtkdyuk,A323K
554,aewes,A120S
555,aewin,A150N
556,aeyispnip,A123P
557,aeyispnippenyemprotan,A123N
558,af,A200F
559,afarma,A265A
560,afc,A230C
561,afccup,A233P
562,afdrwxtx,A236X
563,afdrwxtxbupati,A236I
564,afegqtepq,A232Q
565,afegqtepqronaldo,A232O
566,afewmomentsletter,A215R
567,aff,A200F
568,affair,A260R
569,affecting,A233G
570,affection,A233N
571,affetto,A230O
572,affiliations,A243S
573,affirmative,A265E
574,afford,A263D
575,afg,A230G
576,afgan,A235N
577,afgansyah,A235H
578,afghan,A232N
579,afirmasikesehatan,A265N
580,afjgzd,A233D
581,afjgzdamalan,A233N
582,afkenapa,A235A
583,aflah,A242H
584,afqhgajp,A222P
585,afqhgajpsalam,A222M
586,afraid,A263D
587,africa,A263A
588,african,A263N
589,afrikaselatan,A263N
590,afroturd,A263D
591,after,A236R
592,afterdark,A236K
593,afterlife,A236E
594,afternoon,A236N
595,afternya,A236A
596,aftkryxt,A233T
597,aftkryxtglobal,A233L
598,afufziw,A221W
599,afufziwberjaya,A221A
600,afvjjfsanr,A223R
601,afvjjfsanrherman,A223N
602,afyatz,A213Z
603,afyiabt,A213T
604,afyiabtkarena,A213A
605,ag,A300G
606,aga,A300A
607,agai,A300I
608,again,A350N
609,againaku,A353U
610,againiya,A351A
611,againsantuy,A352Y
612,against,A352T
613,againthey,A353Y
614,againtscorona,A353A
615,agakarebaa,A336A
616,agamabuddha,A353A
617,agara,A360A
618,agarrakyatwaspada,A363A
619,agarresi,A362I
620,agarseptian,A362N
621,agata,A330A
622,agc,A330C
623,age,A300E
624,aged,A330D
625,ageminggat,A355T
626,agenasuransi,A352I
627,agenbandarq,A353Q
628,agenbandarqonline,A353E
629,agenbandarqterbaik,A353K
630,agenbola,A353A
631,agenbolaterbaik,A353K
632,agenbolaterpercaya,A353A
633,agencies,A353S
634,agency,A353Y
635,agendakomunis,A353S
636,agendakomunisgua,A353A
637,agendaui,A353I
638,agendomino,A353O
639,agenhdsza,A352A
640,agenhdszajoachim,A352M
641,agenibcbet,A353T
642,agenjudi,A353I
643,agenjudionline,A353E
644,agennya,A351A
645,agenpoker,A353R
646,agensbobet,A352T
647,agensi,A352I
648,agensipemeringkat,A352T
649,agensipemeringkatfitch,A352H
650,agenslotonline,A352E
651,agensusu,A352U
652,agensusukuda,A352A
653,agensusumurni,A352I
654,agent,A353T
655,agentaruhanku,A353U
656,agenterpercaya,A353A
657,agentigel,A353L
658,agentkachina,A353A
659,agentogel,A353L
660,agentogelsgp,A353P
661,agentogelsgpresult,A353T
662,agentogelterpercaya,A353A
663,agentpoker,A353R
664,ager,A360R
665,agfeyxt,A321T
666,agfeyxtjejak,A321K
667,aggatra,A336A
668,aggfyxpog,A321G
669,aggfyxpogtetap,A321P
670,aggressively,A362Y
671,agh,A320H
672,aghniina,A325A
673,agi,A300I
674,agid,A330D
675,agik,A330K
676,agjsilitmu,A332U
677,agk,A330K
678,agka,A330A
679,agm,A350M
680,agmin,A355N
681,agnation,A353N
682,agnellier,A354R
683,agnesmo,A352O
684,agnesvk,A352K
685,agnez,A352Z
686,agnezmo,A352O
687,agnmyl,A355L
688,agnmyluntuk,A355K
689,agnostic,A352C
690,ago,A300O
691,agoes,A320S
692,agogod,A330D
693,agong,A350G
694,agothe,A332E
695,agoy,A310Y
696,agoyrprq,A316Q
697,agp,A330P
698,agpearthhour,A336R
699,agpeduli,A333I
700,agpedulibahkan,A333N
701,agpedulicegah,A333H
702,agpedulikemarin,A333N
703,agpedulikoordinator,A333R
704,agpedulinah,A333H
705,agpedulipada,A333A
706,agpedulipendirian,A333N
707,agpedulitujuan,A333N
708,agr,A360R
709,agras,A362S
710,agree,A360E
711,agreed,A363D
712,agreeeeeee,A360E
713,agreement,A365T
714,agresifnya,A362A
715,agsa,A320A
716,agspfqhuqe,A323E
717,agspfqhuqeakibat,A323T
718,agsstyn,A323N
719,agsvevkf,A322F
720,agsvevkfmnh,A322H
721,aguardarei,A363I
722,aguloi,A340I
723,aguloiwabah,A341H
724,agungsedayugrup,A352P
725,agunguthaz,A353Z
726,agusgumiwang,A325G
727,aguskuya,A323A
728,agustian,A323N
729,agustin,A323N
730,agustina,A323A
731,agusyudhoyono,A321O
732,agxjuokkh,A323H
733,agxjuokkhvideo,A323O
734,agxtdim,A323M
735,agxtdimdolar,A323R
736,aha,A200A
737,ahaayy,A210Y
738,ahadlegi,A234I
739,ahadlegidawuh,A234H
740,ahaha,A200A
741,ahahah,A200H
742,ahahaha,A200A
743,ahahahaadek,A233K
744,ahahahaha,A200A
745,ahahahahahaha,A200A
746,ahahahahhaa,A200A
747,ahahahapake,A233E
748,ahahha,A200A
749,ahahhaha,A200A
750,ahahhhaati,A230I
751,ahbakteri,A233I
752,ahbocup,A233P
753,ahbocupberikut,A233T
754,ahbodo,A233O
755,ahburu,A236U
756,ahburuan,A236N
757,ahcabu,A233U
758,ahcepat,A233T
759,ahclytwx,A234X
760,ahclytwxcorona,A234A
761,ahdi,A230I
762,ahead,A230D
763,ahelah,A240H
764,ahelahhhhhh,A240H
765,ahelahhhhhhmudik,A245K
766,ahgablink,A233K
767,ahgrgr,A236R
768,ahh,A200H
769,ahhg,A230G
770,ahhgpigi,A233I
771,ahhh,A200H
772,ahhiofopkp,A223P
773,ahhiya,A210A
774,ahhyite,A213E
775,ahhyiteapa,A213A
776,ahibi,A230I
777,ahirnya,A265A
778,ahjryz,A236Z
779,ahjug,A233G
780,ahjztjipc,A232C
781,ahjztjipcsemoga,A232A
782,ahkirnya,A236A
783,ahklak,A234K
784,ahklakgd,A234D
785,ahlak,A243K
786,ahlakgada,A243A
787,ahlaknya,A243A
788,ahlaq,A242Q
789,ahlaqdah,A242H
790,ahliherbal,A246L
791,ahlikesehatan,A243N
792,ahlikumum,A243M
793,ahliri,A246I
794,ahlivirologi,A242I
795,ahlivirologiberedar,A242R
796,ahmadbimanusa,A253A
797,ahmaddhani,A253I
798,ahmadinejad,A253D
799,ahmadmikail,A253L
800,ahmadyurianto,A253O
801,ahmantog,A255G
802,ahmczefb,A253B
803,ahmczefbistri,A253I
804,ahminggat,A255T
805,ahngomul,A253L
806,ahnya,A251A
807,ahok,A230K
808,ahoker,A236R
809,ahoqrbmm,A226M
810,ahoqrbmmeeeeeh,A226H
811,ahounvqlf,A252F
812,ahounvqlfhd,A252D
813,ahri,A260I
814,ahscynseib,A223B
815,ahxxgjra,A223A
816,ahxxgjrajumlah,A223H
817,ahy,A210Y
818,ahypartai,A213I
819,aiadmk,A353K
820,aiaoenzd,A523D
821,aiaoenzdsampai,A523I
822,aibon,A350N
823,aic,A300C
824,aice,A300E
825,aichi,A320I
826,aidilfitri,A342I
827,aidit,A330T
828,aidiyakum,A313M
829,aids,A320S
830,aidzin,A325N
831,aie,A000E
832,aifwodab,A213B
833,aifwodabjateng,A213G
834,aight,A323T
835,aigooo,A300O
836,aiguu,A300U
837,aih,A200H
838,aihhhh,A200H
839,aii,A000I
840,aiils,A420S
841,aik,A300K
842,aim,A500M
843,aimcucnfpf,A535F
844,aimcucnfpfwakil,A535L
845,aimi,A500I
846,aimohylkt,A521T
847,aimohylktpernyataan,A521N
848,aimyce,A513E
849,aimyceini,A513I
850,aing,A530G
851,aingbalik,A533K
852,aingbekasi,A533I
853,aingklo,A533O
854,aingmah,A535H
855,aingnos,A532S
856,aingpersib,A533B
857,aingsunda,A532A
858,aini,A500I
859,aink,A530K
860,ainquranisearch,A526H
861,aint,A530T
862,aintjaehyunn,A533N
863,aipda,A330A
864,aiptu,A330U
865,airasia,A620A
866,airberkualitas,A633S
867,airbersih,A632H
868,airbnb,A635B
869,airborn,A635N
870,airborne,A635E
871,airbus,A632S
872,airbusa,A632A
873,airdots,A633S
874,aired,A630D
875,airesdo,A623O
876,airesdodan,A623N
877,airforce,A623E
878,airforcejustdoit,A623T
879,airin,A650N
880,airinairin,A650N
881,airing,A653G
882,airinrachmidiany,A653Y
883,airlangga,A645A
884,airlanggahartarto,A645O
885,airlines,A645S
886,airliur,A640R
887,airmen,A655N
888,airplane,A634E
889,airpods,A633S
890,airport,A633T
891,airports,A633S
892,airpurifier,A632R
893,airspace,A623E
894,airtahitinuifr,A632R
895,airterjun,A633N
896,airterjunkilatapi,A633I
897,ais,A200S
898,aisyiyah,A212H
899,aiyuu,A100U
900,aj,A300J
901,ajaa,A300A
902,ajaaa,A300A
903,ajaaaa,A300A
904,ajaaaaa,A300A
905,ajaaaaaa,A300A
906,ajaaaaaaaaaaa,A300A
907,ajaaaaamiin,A355N
908,ajaaaajauh,A320H
909,ajaaabalik,A334K
910,ajaaagak,A333K
911,ajaaamiin,A355N
912,ajaaas,A320S
913,ajaaaskenapaaa,A323A
914,ajaaaudah,A332H
915,ajaagausah,A332H
916,ajaaiyaa,A310A
917,ajaajan,A350N
918,ajaamudik,A353K
919,ajaanapa,A353A
920,ajaasekarang,A323G
921,ajaasi,A320I
922,ajaasono,A325O
923,ajaaw,A310W
924,ajabacot,A333T
925,ajabalek,A334K
926,ajabalik,A334K
927,ajabener,A335R
928,ajaburu,A336U
929,ajabye,A331E
930,ajacepet,A333T
931,ajacepetan,A333N
932,ajacintaku,A335U
933,ajacuman,A335N
934,ajad,A330D
935,ajadah,A332H
936,ajadaripada,A336A
937,ajadeh,A332H
938,ajadi,A330I
939,ajaga,A330A
940,ajagak,A333K
941,ajagausah,A332H
942,ajagk,A333K
943,ajah,A320H
944,ajahari,A326I
945,ajahati,A323I
946,ajahayuk,A321K
947,ajaheh,A320H
948,ajahh,A320H
949,ajai,A300I
950,ajaiyo,A310O
951,ajajangan,A353N
952,ajajauh,A320H
953,ajajngan,A353N
954,ajajug,A330G
955,ajakalo,A334O
956,ajakebanyakan,A333N
957,ajakelamaan,A334N
958,ajakemars,A335S
959,ajakenapa,A335A
960,ajakenpa,A335A
961,ajakin,A335N
962,ajaknp,A335P
963,ajaknpa,A335A
964,ajakok,A330K
965,ajakono,A335O
966,ajakontol,A335L
967,ajalah,A342H
968,ajalahbisa,A342A
969,ajalahsekarang,A342G
970,ajalo,A340O
971,ajaloskeeeeeeee,A342E
972,ajalu,A340U
973,ajamati,A353I
974,ajamudik,A353K
975,ajamutualan,A353N
976,ajan,A350N
977,ajangakak,A353K
978,ajangapain,A353N
979,ajangasioraproduksi,A353I
980,ajangga,A353A
981,ajanggak,A353K
982,ajani,A350I
983,ajanih,A352H
984,ajanitip,A353P
985,ajanoooh,A352H
986,ajanyusahin,A351N
987,ajaok,A330K
988,ajapadahal,A333L
989,ajapadahalkan,A333N
990,ajapegi,A333I
991,ajapergi,A336I
992,ajaplease,A334E
993,ajaplis,A334S
994,ajaprgi,A336I
995,ajapulang,A334G
996,ajapulng,A334G
997,ajarantidak,A365K
998,ajarhasil,A362L
999,ajarin,A365N
1000,ajarinbg,A365G
1001,ajasabtu,A323U
1002,ajasana,A325A
1003,ajasanalu,A325U
1004,ajasaya,A321A
1005,ajasekarang,A323G
1006,ajasi,A320I
1007,ajasih,A322H
1008,ajasiii,A320I
1009,ajasiikut,A323T
1010,ajasiknp,A323P
1011,ajasinapa,A325A
1012,ajaskrg,A323G
1013,ajaskrng,A323G
1014,ajasono,A325O
1015,ajasonoooo,A325O
1016,ajasudahh,A323H
1017,ajatetaplah,A333H
1018,ajatolong,A334G
1019,ajattapareng,A333G
1020,ajaudah,A332H
1021,ajawkw,A313W
1022,ajawoelah,A314H
1023,ajawoi,A310I
1024,ajawoy,A311Y
1025,ajax,A320X
1026,ajaxamsterdam,A325M
1027,ajay,A310Y
1028,ajaya,A310A
1029,ajayauda,A313A
1030,ajbalik,A334K
1031,ajcg,A333G
1032,ajdah,A332H
1033,ajdh,A332H
1034,adakynya,A325A
