id,kata alay,kode
105,abdelaziz,A334B
106,abdimah,A335B
107,abdinegara,A335B
108,abduk,A333B
109,abdulaziz,A334B
110,abdulhalimiskandar,A334B
111,abdulkadir,A334B
112,abdullahazwaranas,A334B
113,abdullahwong,A334B
114,abdurarsyad,A336B
115,abduzeedo,A332B
116,abe,A300B
117,abee,A300B
118,abel,A340B
119,abelih,A342B
120,abell,A340B
121,abelss,A342B
122,abequynwhb,A321B
123,abequynwhbpelatihan,A321B
124,abg,A330B
125,abgbugil,A334B
126,abggota,A333B
127,abghot,A332B
128,abgindo,A335B
129,abhishek,A322B
130,abiez,A320B
131,abiezzaku,A323B
132,abiezzzzz,A320B
133,abigail,A334B
134,abigailchvli,A334B
135,abighya,A332B
136,abiis,A320B
137,ability,A343B
138,abinegara,A353B
139,abisbiar,A326B
140,abiscepeet,A323B
141,abisin,A325B
142,abiskalau,A323B
143,abiskan,A323B
144,abiskansono,A323B
145,abisnya,A325B
146,abissukses,A323B
147,abistu,A323B
148,abisyah,A321B
149,abix,A320B
150,abjar,A336B
151,abjecto,A333B
152,abk,A330B
153,abkdiamondprincess,A333B
154,abkdiamondprincesss,A333B
155,abkworlddream,A331B
156,able,A340B
157,abn,A350B
158,aboe,A300B
159,abolish,A342B
160,abominable,A355B
161,abonokgxl,A353B
162,abonokgxlnasib,A353B
163,abor,A360B
164,aborrr,A360B
165,abortion,A363B
166,about,A330B
167,aboutcirebon,A333B
168,above,A320B
169,abpalpvws,A334B
170,abpalpvwssejumlah,A334B
171,abraar,A360B
172,abramov,A365B
173,abramovic,A365B
174,abrutwmr,A363B
175,abrutwmrtidak,A363B
176,abs,A320B
177,absennya,A325B
178,abshor,A322B
179,absinthe,A325B
180,absolutely,A324B
181,abtbrrsix,A336B
182,abtbrrsixtransit,A336B
183,abud,A330B
184,abudabi,A330B
185,abuker,A336B
186,abuna,A350B
187,aburizal,A362B
188,aburizalbakrie,A362B
189,abuse,A320B
190,abusers,A326B
191,abusive,A322B
192,abusivevalid,A322B
193,abuti,A330B
194,abwivisvkt,A312B
195,abwowgvk,A313B
196,abwowgvkgubernur,A313B
197,abzmx,A325B
198,abzmxcegah,A325B
199,aca,A300C
200,acabou,A330C
201,acad,A330C
202,academy,A335C
203,academybinar,A335C
204,acajzdme,A332C
205,acajzdmepliss,A332C
206,acarabandung,A363C
207,acaraki,A363C
208,acarakijamu,A363C
209,acarakikemang,A363C
210,acarakotabatu,A363C
211,acarakuminggato,A363C
212,acaramusikbatal,A365C
213,acbaidowi,A333C
214,acc,A300C
215,accelera,A346C
216,accelerating,A346C
217,accepting,A333C
218,access,A320C
219,accessibility,A323C
220,accessible,A323C
221,accessmattersnz,A325C
222,accident,A335C
223,accidental,A335C
224,accidentally,A335C
225,accidents,A335C
226,accor,A360C
227,accord,A363C
228,according,A363C
229,accordingly,A363C
230,account,A353C
231,accounting,A353C
232,accounts,A353C
233,accurate,A363C
234,accurateonline,A363C
235,accusations,A323C
236,accused,A323C
237,accuser,A326C
238,accusing,A325C
239,aceatrms,A336C
240,aceatrmsminta,A336C
241,acehasan,A322C
242,acehhebat,A323C
243,acehsehat,A322C
244,acehterapkanjammalam,A323C
245,acevspayde,A322C
246,aceykxhee,A313C
247,aceykxheehai,A313C
248,ach,A320C
249,achamd,A325C
250,achieve,A322C
251,achieveit,A322C
252,achievement,A322C
253,achieving,A322C
254,achirnya,A326C
255,achm,A325C
256,achmad,A325C
257,achmadfauzi,A325C
258,achmadfauzipeduli,A325C
259,achmadyurianto,A325C
260,achmadyuriantomakin,A325C
261,achmadyuriantopasien,A325C
262,achmadyuriantopositif,A325C
263,achor,A326C
264,acid,A330C
265,acityunited,A331C
266,acldvil,A343C
267,acldvilmantap,A343C
268,acmilan,A354C
269,acmilanresmi,A354C
270,acmrpsn,A356C
271,acmrpsndata,A356C
272,acnftbccuk,A352C
273,acoustic,A323C
274,acpcemv,A335C
275,acpcemvgubernur,A335C
276,acqlweyk,A324C
277,acqlweyksiap,A324C
278,acquired,A326C
279,acrbandung,A363C
280,acredito,A363C
281,acrivites,A362C
282,across,A362C
283,acrtrnq,A363C
284,acrtrnqada,A363C
285,act,A330C
286,actbali,A333C
287,actdiy,A333C
288,acting,A335C
289,action,A335C
290,actionnya,A335C
291,actions,A335C
292,activations,A332C
293,active,A332C
294,actively,A332C
295,activist,A332C
296,activites,A332C
297,activities,A332C
298,activiyes,A332C
299,activtek,A332C
300,actor,A336C
301,actors,A336C
302,actout,A330C
303,actress,A336C
304,acts,A332C
305,actually,A334C
306,acuhkan,A323C
307,acunt,A353C
308,acusa,A320C
309,acute,A330C
310,acuu,A300C
311,acwlapxdr,A314C
312,acwlapxdrdiisi,A314C
313,acwmfzfpl,A315C
314,acwmfzfplhai,A315C
315,acyss,A312C
316,acyssvirus,A312C
317,ad,A300D
318,adaa,A300D
319,adaaa,A300D
320,adaaaa,A300D
321,adaadaaja,A330D
322,adachi,A332D
323,adain,A350D
324,adajgn,A333D
325,adakami,A335D
326,adakynya,A331D
327,adala,A340D
328,adalahmudah,A342D
329,adalaj,A343D
330,adalapenanggalan,A343D
331,adamas,A352D
332,adams,A352D
333,adamschlesinger,A352D
334,adane,A350D
335,adany,A351D
336,adaorang,A365D
337,adapositif,A332D
338,adaptations,A333D
339,adapula,A334D
340,adararik,A363D
341,adarkhqyy,A363D
342,adarkhqyylebih,A363D
343,adaro,A360D
344,adax,A320D
345,adayauda,A310D
346,adb,A330D
347,add,A300D
348,added,A300D
349,addict,A333D
350,addiinmedia,A355D
351,additional,A335D
352,addo,A300D
353,addon,A350D
354,address,A362D
355,addressed,A362D
356,addyosmani,A312D
357,adearmando,A365D
358,adebayor,A331D
359,adefannyf,A325D
360,adek,A330D
361,adekku,A330D
362,adekmu,A335D
363,adeknya,A335D
364,adeknyabekyun,A335D
365,adeku,A330D
366,adel,A340D
367,adell,A340D
368,ademsari,A352D
369,ademsebenarnya,A352D
370,adenya,A351D
371,adequate,A323D
372,adesanya,A325D
373,adetailnya,A334D
374,adeuh,A320D
375,adeyasin,A312D
376,adeyasinn,A312D
377,adeyyapa,A313D
378,adhanom,A325D
379,adhi,A320D
380,adhiemassardi,A325D
381,adhisty,A322D
382,adhistyzara,A322D
383,adian,A350D
384,adiannapitupulu,A353D
385,adiannapitupuluadian,A353D
386,adidas,A320D
387,adie,A300D
388,adielaristo,A346D
389,adiep,A330D
390,adiitoo,A330D
391,adilberarti,A343D
392,adilmenurut,A345D
393,adimazadi,A352D
394,adindakuh,A353D
395,adindakuhtugas,A353D
396,adindasoraya,A352D
397,adinugrooz,A353D
398,adipatirafiki,A333D
399,adiprasojopr,A336D
400,adirafinanceid,A362D
401,adisasmito,A325D
402,adistri,A323D
403,adisucipto,A323D
404,adisutjipto,A323D
405,aditamamobile,A335D
406,adittyachris,A331D
407,aditya,A331D
408,adityawilly,A331D
409,adjgmvtq,A333D
410,adjgmvtqbales,A333D
411,adji,A330D
412,adjidarmo,A336D
413,adjiksaenjaberdikari,A333D
414,adl,A340D
415,adlah,A342D
416,adlh,A342D
417,adm,A350D
418,admin,A355D
419,adminindahartaningsh,A355D
420,administration,A355D
421,adminkaget,A355D
422,adminkalau,A355D
423,adminnaik,A355D
424,adminnya,A355D
425,admintajur,A355D
426,admirer,A356D
427,admit,A353D
428,admitted,A353D
429,admkdsq,A353D
430,admkdsqkali,A353D
431,admonishing,A355D
432,adnankanedi,A353D
433,adnanpurichta,A353D
434,adnhsn,A352D
435,adnhsnwaduh,A352D
436,adnmjeomvz,A355D
437,ado,A300D
438,adobe,A330D
439,adobeilustrator,A334D
440,adobephotoshop,A333D
441,adoh,A320D
442,adohadohmu,A325D
443,adohengga,A325D
444,adohhhhh,A320D
445,adohhhhhminggato,A325D
446,adohlos,A324D
447,adohmangga,A325D
448,adohminggato,A325D
449,adohmireooo,A325D
450,adohngat,A325D
451,adohsee,A322D
452,adolescent,A342D
453,adopsiboleh,A332D
454,adopted,A333D
455,adorable,A363D
456,adp,A330D
457,adpbawa,A333D
458,adpgini,A333D
459,adpgw,A333D
460,adpjaman,A333D
461,adpnaah,A335D
462,adpperbuatan,A336D
463,adpsaya,A332D
464,adpsy,A332D
465,adptraveloka,A333D
466,adr,A360D
467,adrea,A360D
468,adria,A360D
469,adrian,A365D
470,adriano,A365D
471,ads,A320D
472,adsense,A325D
473,adslah,A324D
474,adsolsublimtxxi,A324D
475,adududu,A300D
476,adudududu,A300D
477,aduhh,A320D
478,aduhhh,A320D
479,aduhsekolah,A322D
480,aduin,A350D
481,adul,A340D
482,aduoh,A320D
483,aduohminggat,A325D
484,aduu,A300D
485,advan,A325D
486,advangpro,A325D
487,advania,A325D
488,advantab,A325D
489,advantage,A325D
490,adventure,A325D
491,adversity,A326D
492,advert,A326D
493,advertisement,A326D
494,advertising,A326D
495,advgxkzq,A323D
496,advgxkzqberikut,A323D
497,advice,A323D
498,advise,A322D
499,advmieual,A325D
500,advmieualterima,A325D
501,advokasinya,A323D
502,advokator,A323D
503,adxehvxhkv,A322D
504,adxjhgnsy,A323D
505,adxokvyt,A323D
506,adxokvytbagaimana,A323D
507,adxpsdel,A323D
508,adxpsdelnah,A323D
509,adyt,A313D
510,adzan,A325D
511,adzanin,A325D
512,adzi,A320D
513,adziim,A325D
514,adzim,A325D
515,adzin,A325D
516,adzkyatourtravel,A323D
517,ae,A000E
518,aecepat,A333E
519,aedwnxr,A315E
520,aedwnxrkalian,A315E
521,aee,A000E
522,aeebcgmhp,A333E
523,aeebcgmhppemerintah,A333E
524,aeee,A000E
525,aegananya,A351E
526,aegausah,A322E
527,aehati,A230E
528,aehfzva,A222E
529,aehfzvapasukan,A222E
530,aehoalah,A240E
531,aejancok,A353E
532,aejbfrdzr,A332E
533,aeko,A300E
534,aela,A400E
535,aelaa,A400E
536,aelapegi,A433E
537,aeminggat,A553E
538,aende,A530E
539,aeng,A530E
540,aeon,A500E
541,aepegi,A330E
542,aepulang,A345E
543,aeqcfby,A232E
544,aeqcfbysetuju,A232E
545,aer,A600E
546,aerith,A632E
547,aerobiklebih,A633E
548,aerospace,A623E
549,aesler,A246E
550,aeterima,A365E
551,aeternaexxiiday,A365E
552,aetxtkd,A323E
553,aetxtkdyuk,A323E
554,aewes,A120E
555,aewin,A150E
556,aeyispnip,A123E
557,aeyispnippenyemprotan,A123E
558,af,A200F
559,afarma,A265F
560,afc,A230F
561,afccup,A233F
562,afdrwxtx,A236F
563,afdrwxtxbupati,A236F
564,afegqtepq,A232F
565,afegqtepqronaldo,A232F
566,afewmomentsletter,A215F
567,aff,A200F
568,affair,A260F
569,affecting,A233F
570,affection,A233F
571,affetto,A230F
572,affiliations,A243F
573,affirmative,A265F
574,afford,A263F
575,afg,A230F
576,afgan,A235F
577,afgansyah,A235F
578,afghan,A232F
579,afirmasikesehatan,A265F
580,afjgzd,A233F
581,afjgzdamalan,A233F
582,afkenapa,A235F
583,aflah,A242F
584,afqhgajp,A222F
585,afqhgajpsalam,A222F
586,afraid,A263F
587,africa,A263F
588,african,A263F
589,afrikaselatan,A263F
590,afroturd,A263F
591,after,A236F
592,afterdark,A236F
593,afterlife,A236F
594,afternoon,A236F
595,afternya,A236F
596,aftkryxt,A233F
597,aftkryxtglobal,A233F
598,afufziw,A221F
599,afufziwberjaya,A221F
600,afvjjfsanr,A223F
601,afvjjfsanrherman,A223F
602,afyatz,A213F
603,afyiabt,A213F
604,afyiabtkarena,A213F
605,ag,A300G
606,aga,A300G
607,agai,A300G
608,again,A350G
609,againaku,A353G
610,againiya,A351G
611,againsantuy,A352G
612,against,A352G
613,againthey,A353G
614,againtscorona,A353G
615,agakarebaa,A336G
616,agamabuddha,A353G
617,agara,A360G
618,agarrakyatwaspada,A363G
619,agarresi,A362G
620,agarseptian,A362G
621,agata,A330G
622,agc,A330G
623,age,A300G
624,aged,A330G
625,ageminggat,A355G
626,agenasuransi,A352G
627,agenbandarq,A353G
628,agenbandarqonline,A353G
629,agenbandarqterbaik,A353G
630,agenbola,A353G
631,agenbolaterbaik,A353G
632,agenbolaterpercaya,A353G
633,agencies,A353G
634,agency,A353G
635,agendakomunis,A353G
636,agendakomunisgua,A353G
637,agendaui,A353G
638,agendomino,A353G
639,agenhdsza,A352G
640,agenhdszajoachim,A352G
641,agenibcbet,A353G
642,agenjudi,A353G
643,agenjudionline,A353G
644,agennya,A351G
645,agenpoker,A353G
646,agensbobet,A352G
647,agensi,A352G
648,agensipemeringkat,A352G
649,agensipemeringkatfitch,A352G
650,agenslotonline,A352G
651,agensusu,A352G
652,agensusukuda,A352G
653,agensusumurni,A352G
654,agent,A353G
655,agentaruhanku,A353G
656,agenterpercaya,A353G
657,agentigel,A353G
658,agentkachina,A353G
659,agentogel,A353G
660,agentogelsgp,A353G
661,agentogelsgpresult,A353G
662,agentogelterpercaya,A353G
663,agentpoker,A353G
664,ager,A360G
665,agfeyxt,A321G
666,agfeyxtjejak,A321G
667,aggatra,A336G
668,aggfyxpog,A321G
669,aggfyxpogtetap,A321G
670,aggressively,A362G
671,agh,A320G
672,aghniina,A325G
673,agi,A300G
674,agid,A330G
675,agik,A330G
676,agjsilitmu,A332G
677,agk,A330G
678,agka,A330G
679,agm,A350G
680,agmin,A355G
681,agnation,A353G
682,agnellier,A354G
683,agnesmo,A352G
684,agnesvk,A352G
685,agnez,A352G
686,agnezmo,A352G
687,agnmyl,A355G
688,agnmyluntuk,A355G
689,agnostic,A352G
690,ago,A300G
691,agoes,A320G
692,agogod,A330G
693,agong,A350G
694,agothe,A332G
695,agoy,A310G
696,agoyrprq,A316G
697,agp,A330G
698,agpearthhour,A336G
699,agpeduli,A333G
700,agpedulibahkan,A333G
701,agpedulicegah,A333G
702,agpedulikemarin,A333G
703,agpedulikoordinator,A333G
704,agpedulinah,A333G
705,agpedulipada,A333G
706,agpedulipendirian,A333G
707,agpedulitujuan,A333G
708,agr,A360G
709,agras,A362G
710,agree,A360G
711,agreed,A363G
712,agreeeeeee,A360G
713,agreement,A365G
714,agresifnya,A362G
715,agsa,A320G
716,agspfqhuqe,A323G
717,agspfqhuqeakibat,A323G
718,agsstyn,A323G
719,agsvevkf,A322G
720,agsvevkfmnh,A322G
721,aguardarei,A363G
722,aguloi,A340G
723,aguloiwabah,A341G
724,agungsedayugrup,A352G
725,agunguthaz,A353G
726,agusgumiwang,A325G
727,aguskuya,A323G
728,agustian,A323G
729,agustin,A323G
730,agustina,A323G
731,agusyudhoyono,A321G
732,agxjuokkh,A323G
733,agxjuokkhvideo,A323G
734,agxtdim,A323G
735,agxtdimdolar,A323G
736,aha,A200H
737,ahaayy,A210H
738,ahadlegi,A234H
739,ahadlegidawuh,A234H
740,ahaha,A200H
741,ahahah,A200H
742,ahahaha,A200H
743,ahahahaadek,A233H
744,ahahahaha,A200H
745,ahahahahahaha,A200H
746,ahahahahhaa,A200H
747,ahahahapake,A233H
748,ahahha,A200H
749,ahahhaha,A200H
750,ahahhhaati,A230H
751,ahbakteri,A233H
752,ahbocup,A233H
753,ahbocupberikut,A233H
754,ahbodo,A233H
755,ahburu,A236H
756,ahburuan,A236H
757,ahcabu,A233H
758,ahcepat,A233H
759,ahclytwx,A234H
760,ahclytwxcorona,A234H
761,ahdi,A230H
762,ahead,A230H
763,ahelah,A240H
764,ahelahhhhhh,A240H
765,ahelahhhhhhmudik,A245H
766,ahgablink,A233H
767,ahgrgr,A236H
768,ahh,A200H
769,ahhg,A230H
770,ahhgpigi,A233H
771,ahhh,A200H
772,ahhiofopkp,A223H
773,ahhiya,A210H
774,ahhyite,A213H
775,ahhyiteapa,A213H
776,ahibi,A230H
777,ahirnya,A265H
778,ahjryz,A236H
779,ahjug,A233H
780,ahjztjipc,A232H
781,ahjztjipcsemoga,A232H
782,ahkirnya,A236H
783,ahklak,A234H
784,ahklakgd,A234H
785,ahlak,A243H
786,ahlakgada,A243H
787,ahlaknya,A243H
788,ahlaq,A242H
789,ahlaqdah,A242H
790,ahliherbal,A246H
791,ahlikesehatan,A243H
792,ahlikumum,A243H
793,ahliri,A246H
794,ahlivirologi,A242H
795,ahlivirologiberedar,A242H
796,ahmadbimanusa,A253H
797,ahmaddhani,A253H
798,ahmadinejad,A253H
799,ahmadmikail,A253H
800,ahmadyurianto,A253H
801,ahmantog,A255H
802,ahmczefb,A253H
803,ahmczefbistri,A253H
804,ahminggat,A255H
805,ahngomul,A253H
806,ahnya,A251H
807,ahok,A230H
808,ahoker,A236H
809,ahoqrbmm,A226H
810,ahoqrbmmeeeeeh,A226H
811,ahounvqlf,A252H
812,ahounvqlfhd,A252H
813,ahri,A260H
814,ahscynseib,A223H
815,ahxxgjra,A223H
816,ahxxgjrajumlah,A223H
817,ahy,A210H
818,ahypartai,A213H
819,aiadmk,A353I
820,aiaoenzd,A523I
821,aiaoenzdsampai,A523I
822,aibon,A350I
823,aic,A300I
824,aice,A300I
825,aichi,A320I
826,aidilfitri,A342I
827,aidit,A330I
828,aidiyakum,A313I
829,aids,A320I
830,aidzin,A325I
831,aie,A000I
832,aifwodab,A213I
833,aifwodabjateng,A213I
834,aight,A323I
835,aigooo,A300I
836,aiguu,A300I
837,aih,A200I
838,aihhhh,A200I
839,aii,A000I
840,aiils,A420I
841,aik,A300I
842,aim,A500I
843,aimcucnfpf,A535I
844,aimcucnfpfwakil,A535I
845,aimi,A500I
846,aimohylkt,A521I
847,aimohylktpernyataan,A521I
848,aimyce,A513I
849,aimyceini,A513I
850,aing,A530I
851,aingbalik,A533I
852,aingbekasi,A533I
853,aingklo,A533I
854,aingmah,A535I
855,aingnos,A532I
856,aingpersib,A533I
857,aingsunda,A532I
858,aini,A500I
859,aink,A530I
860,ainquranisearch,A526I
861,aint,A530I
862,aintjaehyunn,A533I
863,aipda,A330I
864,aiptu,A330I
865,airasia,A620I
866,airberkualitas,A633I
867,airbersih,A632I
868,airbnb,A635I
869,airborn,A635I
870,airborne,A635I
871,airbus,A632I
872,airbusa,A632I
873,airdots,A633I
874,aired,A630I
875,airesdo,A623I
876,airesdodan,A623I
877,airforce,A623I
878,airforcejustdoit,A623I
879,airin,A650I
880,airinairin,A650I
881,airing,A653I
882,airinrachmidiany,A653I
883,airlangga,A645I
884,airlanggahartarto,A645I
885,airlines,A645I
886,airliur,A640I
887,airmen,A655I
888,airplane,A634I
889,airpods,A633I
890,airport,A633I
891,airports,A633I
892,airpurifier,A632I
893,airspace,A623I
894,airtahitinuifr,A632I
895,airterjun,A633I
896,airterjunkilatapi,A633I
897,ais,A200I
898,aisyiyah,A212I
899,aiyuu,A100I
900,aj,A300J
901,ajaa,A300J
902,ajaaa,A300J
903,ajaaaa,A300J
904,ajaaaaa,A300J
905,ajaaaaaa,A300J
906,ajaaaaaaaaaaa,A300J
907,ajaaaaamiin,A355J
908,ajaaaajauh,A320J
909,ajaaabalik,A334J
910,ajaaagak,A333J
911,ajaaamiin,A355J
912,ajaaas,A320J
913,ajaaaskenapaaa,A323J
914,ajaaaudah,A332J
915,ajaagausah,A332J
916,ajaaiyaa,A310J
917,ajaajan,A350J
918,ajaamudik,A353J
919,ajaanapa,A353J
920,ajaasekarang,A323J
921,ajaasi,A320J
922,ajaasono,A325J
923,ajaaw,A310J
924,ajabacot,A333J
925,ajabalek,A334J
926,ajabalik,A334J
927,ajabener,A335J
928,ajaburu,A336J
929,ajabye,A331J
930,ajacepet,A333J
931,ajacepetan,A333J
932,ajacintaku,A335J
933,ajacuman,A335J
934,ajad,A330J
935,ajadah,A332J
936,ajadaripada,A336J
937,ajadeh,A332J
938,ajadi,A330J
939,ajaga,A330J
940,ajagak,A333J
941,ajagausah,A332J
942,ajagk,A333J
943,ajah,A320J
944,ajahari,A326J
945,ajahati,A323J
946,ajahayuk,A321J
947,ajaheh,A320J
948,ajahh,A320J
949,ajai,A300J
950,ajaiyo,A310J
951,ajajangan,A353J
952,ajajauh,A320J
953,ajajngan,A353J
954,ajajug,A330J
955,ajakalo,A334J
956,ajakebanyakan,A333J
957,ajakelamaan,A334J
958,ajakemars,A335J
959,ajakenapa,A335J
960,ajakenpa,A335J
961,ajakin,A335J
962,ajaknp,A335J
963,ajaknpa,A335J
964,ajakok,A330J
965,ajakono,A335J
966,ajakontol,A335J
967,ajalah,A342J
968,ajalahbisa,A342J
969,ajalahsekarang,A342J
970,ajalo,A340J
971,ajaloskeeeeeeee,A342J
972,ajalu,A340J
973,ajamati,A353J
974,ajamudik,A353J
975,ajamutualan,A353J
976,ajan,A350J
977,ajangakak,A353J
978,ajangapain,A353J
979,ajangasioraproduksi,A353J
980,ajangga,A353J
981,ajanggak,A353J
982,ajani,A350J
983,ajanih,A352J
984,ajanitip,A353J
985,ajanoooh,A352J
986,ajanyusahin,A351J
987,ajaok,A330J
988,ajapadahal,A333J
989,ajapadahalkan,A333J
990,ajapegi,A333J
991,ajapergi,A336J
992,ajaplease,A334J
993,ajaplis,A334J
994,ajaprgi,A336J
995,ajapulang,A334J
996,ajapulng,A334J
997,ajarantidak,A365J
998,ajarhasil,A362J
999,ajarin,A365J
1000,ajarinbg,A365J
1001,ajasabtu,A323J
1002,ajasana,A325J
1003,ajasanalu,A325J
1004,ajasaya,A321J
1005,ajasekarang,A323J
1006,ajasi,A320J
1007,ajasih,A322J
1008,ajasiii,A320J
1009,ajasiikut,A323J
1010,ajasiknp,A323J
1011,ajasinapa,A325J
1012,ajaskrg,A323J
1013,ajaskrng,A323J
1014,ajasono,A325J
1015,ajasonoooo,A325J
1016,ajasudahh,A323J
1017,ajatetaplah,A333J
1018,ajatolong,A334J
1019,ajattapareng,A333J
1020,ajaudah,A332J
1021,ajawkw,A313J
1022,ajawoelah,A314J
1023,ajawoi,A310J
1024,ajawoy,A311J
1025,ajax,A320J
1026,ajaxamsterdam,A325J
1027,ajay,A310J
1028,ajaya,A310J
1029,ajayauda,A313J
1030,ajbalik,A334J
1031,ajcg,A333J
1032,ajdah,A332J
1033,ajdh,A332J
1034,adakynya,A331D
