id,kata alay,kode
104,abdelaziz,A134Z
105,abdimah,A135H
106,abdinegara,A135A
107,abduk,A132K
108,abdulaziz,A134Z
109,abdulhalimiskandar,A134R
110,abdulkadir,A134R
111,abdullahazwaranas,A134S
112,abdullahwong,A134G
113,abdurarsyad,A136D
114,abduzeedo,A132O
115,abee,A100E
116,abelih,A140H
117,abell,A140L
118,abelss,A142S
119,abequynwhb,A125B
120,abequynwhbpelatihan,A125N
121,abg,A120G
122,abgbugil,A124L
123,abggota,A123A
124,abghot,A123T
125,abgindo,A125O
126,abhishek,A122K
127,abiez,A120Z
128,abiezzaku,A122U
129,abiezzzzz,A120Z
130,abigail,A124L
131,abigailchvli,A124I
132,abighya,A120A
133,abiis,A120S
134,abinegara,A152A
135,abisbiar,A126R
136,abiscepeet,A122T
137,abisin,A125N
138,abiskalau,A122U
139,abiskan,A122N
140,abiskansono,A122O
141,abisnya,A125A
142,abissukses,A122S
143,abistu,A123U
144,abisyah,A120H
145,abix,A120X
146,abjar,A126R
147,abjecto,A122O
148,abk,A120K
149,abkdiamondprincess,A123S
150,abkdiamondprincesss,A123S
151,abkworlddream,A126M
152,abn,A150N
153,aboe,A100E
154,abonokgxl,A152L
155,abonokgxlnasib,A152B
156,abor,A160R
157,aborrr,A160R
158,aboutcirebon,A132N
159,abpalpvws,A114S
160,abpalpvwssejumlah,A114H
161,abraar,A160R
162,abramov,A165V
163,abramovic,A165C
164,abrutwmr,A163R
165,abrutwmrtidak,A163K
166,abs,A120S
167,absennya,A125A
168,abshor,A126R
169,absinthe,A125E
170,abtbrrsix,A136X
171,abtbrrsixtransit,A136T
172,abud,A130D
173,abudabi,A130I
174,abuker,A126R
175,abuna,A150A
176,aburizal,A162L
177,aburizalbakrie,A162E
178,abusivevalid,A121D
179,abuti,A130I
180,abwivisvkt,A112T
181,abwowgvk,A121K
182,abwowgvkgubernur,A121R
183,abzmx,A125X
184,abzmxcegah,A125H
185,aca,A200A
186,acabou,A210U
187,acad,A230D
188,academybinar,A235R
189,acajzdme,A222E
190,acajzdmepliss,A222S
191,acarabandung,A261G
192,acaraki,A262I
193,acarakijamu,A262U
194,acarakikemang,A262G
195,acarakotabatu,A262U
196,acarakuminggato,A262O
197,acaramusikbatal,A265L
198,acbaidowi,A213I
199,acc,A200C
200,accelera,A246A
201,accessmattersnz,A225Z
202,accor,A260R
203,accurateonline,A263E
204,aceatrms,A236S
205,aceatrmsminta,A236A
206,acehasan,A225N
207,acehhebat,A213T
208,acehsehat,A223T
209,acehterapkanjammalam,A236M
210,acevspayde,A212E
211,aceykxhee,A222E
212,aceykxheehai,A222I
213,ach,A200H
214,achamd,A253D
215,achieveit,A213T
216,achirnya,A265A
217,achm,A250M
218,achmad,A253D
219,achmadfauzi,A253I
220,achmadfauzipeduli,A253I
221,achmadyurianto,A253O
222,achmadyuriantomakin,A253N
223,achmadyuriantopasien,A253N
224,achmadyuriantopositif,A253F
225,achor,A260R
226,acityunited,A235D
227,acldvil,A243L
228,acldvilmantap,A243P
229,acmilan,A254N
230,acmilanresmi,A254I
231,acmrpsn,A256N
232,acmrpsndata,A256A
233,acnftbccuk,A251K
234,acpcemv,A215V
235,acpcemvgubernur,A215R
236,acqlweyk,A224K
237,acqlweyksiap,A224P
238,acrbandung,A261G
239,acredito,A263O
240,acrivites,A261S
241,acrtrnq,A263Q
242,acrtrnqada,A263A
243,actbali,A231I
244,actdiy,A233Y
245,actionnya,A235A
246,activites,A231S
247,activiyes,A231S
248,activtek,A231K
249,actout,A230T
250,acuhkan,A225N
251,acunt,A253T
252,acusa,A220A
253,acuu,A200U
254,acwlapxdr,A241R
255,acwlapxdrdiisi,A241I
256,acwmfzfpl,A251L
257,acwmfzfplhai,A251I
258,acyss,A220S
259,acyssvirus,A221S
260,ad,A300D
261,adaa,A300A
262,adaaa,A300A
263,adaaaa,A300A
264,adaadaaja,A320A
265,adachi,A320I
266,adain,A350N
267,adajgn,A322N
268,adakami,A325I
269,adakynya,A325A
270,adala,A340A
271,adalahmudah,A345H
272,adalaj,A342J
273,adalapenanggalan,A341N
274,adamas,A352S
275,adams,A352S
276,adamschlesinger,A352R
277,adane,A350E
278,adany,A350Y
279,adaorang,A365G
280,adapositif,A312F
281,adapula,A314A
282,adararik,A362K
283,adarkhqyy,A362Y
284,adarkhqyylebih,A362H
285,adaro,A360O
286,adax,A320X
287,adayauda,A300A
288,adb,A310B
289,addiinmedia,A355A
290,addo,A300O
291,addon,A350N
292,addyosmani,A325I
293,adearmando,A365O
294,adebayor,A316R
295,adefannyf,A315F
296,adek,A320K
297,adekku,A320U
298,adekmu,A325U
299,adeknya,A325A
300,adeknyabekyun,A325N
301,adeku,A320U
302,adel,A340L
303,adell,A340L
304,ademsari,A352I
305,ademsebenarnya,A352A
306,adenya,A350A
307,adesanya,A325A
308,adetailnya,A334A
309,adeuh,A300H
310,adeyasin,A325N
311,adeyasinn,A325N
312,adeyyapa,A310A
313,adhanom,A355M
314,adhi,A300I
315,adhiemassardi,A352I
316,adhisty,A323Y
317,adhistyzara,A323A
318,adian,A350N
319,adiannapitupulu,A351U
320,adiannapitupuluadian,A351N
321,adidas,A320S
322,adie,A300E
323,adielaristo,A346O
324,adiep,A310P
325,adiitoo,A330O
326,adilberarti,A341I
327,adilmenurut,A345T
328,adimazadi,A352I
329,adindakuh,A352H
330,adindakuhtugas,A352S
331,adindasoraya,A352A
332,adinugrooz,A352Z
333,adipatirafiki,A313I
334,adiprasojopr,A316R
335,adirafinanceid,A361D
336,adisasmito,A325O
337,adistri,A323I
338,adisucipto,A322O
339,adisutjipto,A323O
340,aditamamobile,A335E
341,adittyachris,A332S
342,aditya,A330A
343,adityawilly,A334Y
344,adjgmvtq,A322Q
345,adjgmvtqbales,A322S
346,adji,A320I
347,adjidarmo,A326O
348,adjiksaenjaberdikari,A322I
349,adl,A340L
350,adlah,A340H
351,adlh,A340H
352,adm,A350M
353,adminindahartaningsh,A355H
354,adminkaget,A355T
355,adminkalau,A355U
356,adminnaik,A355K
357,adminnya,A355A
358,admintajur,A355R
359,admkdsq,A352Q
360,admkdsqkali,A352I
361,adnankanedi,A352I
362,adnanpurichta,A351A
363,adnhsn,A352N
364,adnhsnwaduh,A352H
365,adnmjeomvz,A355Z
366,adobeilustrator,A314R
367,adobephotoshop,A311P
368,adoh,A300H
369,adohadohmu,A350U
370,adohengga,A352A
371,adohhhhh,A300H
372,adohhhhhminggato,A355O
373,adohlos,A342S
374,adohmangga,A355A
375,adohminggato,A355O
376,adohmireooo,A356O
377,adohngat,A352T
378,adohsee,A320E
379,adopsiboleh,A312H
380,adp,A310P
381,adpbawa,A311A
382,adpgini,A312I
383,adpgw,A312W
384,adpjaman,A312N
385,adpnaah,A315H
386,adpperbuatan,A316N
387,adpsaya,A312A
388,adpsy,A312Y
389,adptraveloka,A313A
390,adr,A360R
391,adrea,A360A
392,adria,A360A
393,adrian,A365N
394,adriano,A365O
395,ads,A320S
396,adsense,A325E
397,adslah,A324H
398,adsolsublimtxxi,A324I
399,adududu,A300U
400,adudududu,A300U
401,aduhh,A300H
402,aduhhh,A300H
403,aduhsekolah,A322H
404,aduin,A350N
405,adul,A340L
406,aduoh,A300H
407,aduohminggat,A355T
408,aduu,A300U
409,advan,A315N
410,advangpro,A315O
411,advania,A315A
412,advantab,A315B
413,advgxkzq,A312Q
414,advgxkzqberikut,A312T
415,advmieual,A315L
416,advmieualterima,A315A
417,advokasinya,A312A
418,advokator,A312R
419,adxehvxhkv,A321V
420,adxjhgnsy,A322Y
421,adxokvyt,A322T
422,adxokvytbagaimana,A322A
423,adxpsdel,A321L
424,adxpsdelnah,A321H
425,adyt,A330T
426,adzan,A325N
427,adzanin,A325N
428,adzi,A320I
429,adziim,A325M
430,adzim,A325M
431,adzin,A325N
432,adzkyatourtravel,A322L
433,ae,A000E
434,aecepat,A213T
435,aedwnxr,A352R
436,aedwnxrkalian,A352N
437,aee,A000E
438,aeebcgmhp,A122P
439,aeebcgmhppemerintah,A122H
440,aeee,A000E
441,aegananya,A250A
442,aegausah,A220H
443,aehati,A300I
444,aehfzva,A121A
445,aehfzvapasukan,A121N
446,aehoalah,A400H
447,aejancok,A252K
448,aejbfrdzr,A211R
449,aeko,A200O
450,aela,A400A
451,aelaa,A400A
452,aelapegi,A412I
453,aeminggat,A552T
454,aende,A530E
455,aeng,A520G
456,aepegi,A120I
457,aepulang,A145G
458,aeqcfby,A221Y
459,aeqcfbysetuju,A221U
460,aer,A600R
461,aerith,A630H
462,aerobiklebih,A612H
463,aesler,A246R
464,aeterima,A365A
465,aeternaexxiiday,A365Y
466,aetxtkd,A322D
467,aetxtkdyuk,A322K
468,aewes,A200S
469,aewin,A500N
470,aeyispnip,A215P
471,aeyispnippenyemprotan,A215N
472,af,A100F
473,afarma,A165A
474,afc,A120C
475,afccup,A121P
476,afdrwxtx,A136X
477,afdrwxtxbupati,A136I
478,afegqtepq,A122Q
479,afegqtepqronaldo,A122O
480,afewmomentsletter,A155R
481,aff,A100F
482,affetto,A130O
483,afg,A120G
484,afgan,A125N
485,afgansyah,A125H
486,afirmasikesehatan,A165N
487,afjgzd,A122D
488,afjgzdamalan,A122N
489,afkenapa,A125A
490,aflah,A140H
491,afqhgajp,A122P
492,afqhgajpsalam,A122M
493,afrikaselatan,A162N
494,afroturd,A163D
495,afterdark,A136K
496,afternya,A136A
497,aftkryxt,A132T
498,aftkryxtglobal,A132L
499,afufziw,A120W
500,afufziwberjaya,A121A
501,afvjjfsanr,A112R
502,afvjjfsanrherman,A112N
503,afyatz,A132Z
504,afyiabt,A113T
505,afyiabtkarena,A113A
506,ag,A200G
507,agai,A200I
508,againaku,A252U
509,againiya,A250A
510,againsantuy,A252Y
511,againthey,A253Y
512,againtscorona,A253A
513,agakarebaa,A226A
514,agamabuddha,A251A
515,agara,A260A
516,agarrakyatwaspada,A262A
517,agarresi,A262I
518,agarseptian,A262N
519,agata,A230A
520,agc,A220C
521,ageminggat,A255T
522,agenasuransi,A252I
523,agenbandarq,A251Q
524,agenbandarqonline,A251E
525,agenbandarqterbaik,A251K
526,agenbola,A251A
527,agenbolaterbaik,A251K
528,agenbolaterpercaya,A251A
529,agendakomunis,A253S
530,agendakomunisgua,A253A
531,agendaui,A253I
532,agendomino,A253O
533,agenhdsza,A253A
534,agenhdszajoachim,A253M
535,agenibcbet,A251T
536,agenjudi,A252I
537,agenjudionline,A252E
538,agennya,A250A
539,agenpoker,A251R
540,agensbobet,A252T
541,agensi,A252I
542,agensipemeringkat,A252T
543,agensipemeringkatfitch,A252H
544,agenslotonline,A252E
545,agensusu,A252U
546,agensusukuda,A252A
547,agensusumurni,A252I
548,agentaruhanku,A253U
549,agenterpercaya,A253A
550,agentigel,A253L
551,agentkachina,A253A
552,agentogel,A253L
553,agentogelsgp,A253P
554,agentogelsgpresult,A253T
555,agentogelterpercaya,A253A
556,agentpoker,A253R
557,ager,A260R
558,agfeyxt,A212T
559,agfeyxtjejak,A212K
560,aggatra,A236A
561,aggfyxpog,A212G
562,aggfyxpogtetap,A212P
563,agh,A200H
564,aghniina,A250A
565,agi,A200I
566,agid,A230D
567,agik,A220K
568,agjsilitmu,A222U
569,agk,A220K
570,agka,A220A
571,agm,A250M
572,agmin,A255N
573,agnation,A253N
574,agnellier,A254R
575,agnesmo,A252O
576,agnesvk,A252K
577,agnez,A252Z
578,agnezmo,A252O
579,agnmyl,A255L
580,agnmyluntuk,A255K
581,agoes,A220S
582,agogod,A230D
583,agong,A250G
584,agothe,A230E
585,agoy,A200Y
586,agoyrprq,A261Q
587,agp,A210P
588,agpearthhour,A216R
589,agpeduli,A213I
590,agpedulibahkan,A213N
591,agpedulicegah,A213H
592,agpedulikemarin,A213N
593,agpedulikoordinator,A213R
594,agpedulinah,A213H
595,agpedulipada,A213A
596,agpedulipendirian,A213N
597,agpedulitujuan,A213N
598,agr,A260R
599,agras,A262S
600,agreeeeeee,A260E
601,agresifnya,A262A
602,agsa,A220A
603,agspfqhuqe,A221E
604,agspfqhuqeakibat,A221T
605,agsstyn,A223N
606,agsvevkf,A221F
607,agsvevkfmnh,A221H
608,aguardarei,A263I
609,aguloi,A240I
610,aguloiwabah,A241H
611,agungsedayugrup,A252P
612,agunguthaz,A253Z
613,agusgumiwang,A225G
614,aguskuya,A222A
615,agustian,A223N
616,agustin,A223N
617,agustina,A223A
618,agusyudhoyono,A223O
619,agxjuokkh,A222H
620,agxjuokkhvideo,A222O
621,agxtdim,A223M
622,agxtdimdolar,A223R
623,ahaayy,A000Y
624,ahadlegi,A342I
625,ahadlegidawuh,A342H
626,ahaha,A000A
627,ahahah,A000H
628,ahahaha,A000A
629,ahahahaadek,A320K
630,ahahahaha,A000A
631,ahahahahahaha,A000A
632,ahahahahhaa,A000A
633,ahahahapake,A120E
634,ahahha,A000A
635,ahahhaha,A000A
636,ahahhhaati,A300I
637,ahbakteri,A123I
638,ahbocup,A121P
639,ahbocupberikut,A121T
640,ahbodo,A130O
641,ahburu,A160U
642,ahburuan,A165N
643,ahcabu,A210U
644,ahcepat,A213T
645,ahclytwx,A243X
646,ahclytwxcorona,A243A
647,ahdi,A300I
648,ahelah,A400H
649,ahelahhhhhh,A400H
650,ahelahhhhhhmudik,A453K
651,ahgablink,A214K
652,ahgrgr,A260R
653,ahh,A000H
654,ahhg,A200G
655,ahhgpigi,A210I
656,ahhh,A000H
657,ahhiofopkp,A112P
658,ahhiya,A000A
659,ahhyite,A300E
660,ahhyiteapa,A310A
661,ahibi,A100I
662,ahirnya,A650A
663,ahjryz,A262Z
664,ahjug,A220G
665,ahjztjipc,A223C
666,ahjztjipcsemoga,A223A
667,ahkirnya,A265A
668,ahklak,A240K
669,ahklakgd,A242D
670,ahlak,A420K
671,ahlakgada,A422A
672,ahlaknya,A425A
673,ahlaq,A420Q
674,ahlaqdah,A423H
675,ahliherbal,A461L
676,ahlikesehatan,A422N
677,ahlikumum,A425M
678,ahliri,A460I
679,ahlivirologi,A416I
680,ahlivirologiberedar,A416R
681,ahmadbimanusa,A531A
682,ahmaddhani,A535I
683,ahmadinejad,A535D
684,ahmadmikail,A532L
685,ahmadyurianto,A536O
686,ahmantog,A553G
687,ahmczefb,A522B
688,ahmczefbistri,A522I
689,ahminggat,A552T
690,ahngomul,A525L
691,ahnya,A500A
692,ahok,A200K
693,ahoker,A260R
694,ahoqrbmm,A261M
695,ahoqrbmmeeeeeh,A261H
696,ahounvqlf,A512F
697,ahounvqlfhd,A512D
698,ahri,A600I
699,ahscynseib,A225B
700,ahxxgjra,A222A
701,ahxxgjrajumlah,A222H
702,ahy,A000Y
703,ahypartai,A163I
704,aiadmk,A352K
705,aiaoenzd,A523D
706,aiaoenzdsampai,A523I
707,aibon,A150N
708,aic,A200C
709,aice,A200E
710,aichi,A200I
711,aidilfitri,A341I
712,aidit,A330T
713,aidiyakum,A325M
714,aidzin,A325N
715,aie,A000E
716,aifwodab,A131B
717,aifwodabjateng,A131G
718,aight,A230T
719,aigooo,A200O
720,aiguu,A200U
721,aih,A000H
722,aihhhh,A000H
723,aii,A000I
724,aiils,A420S
725,aik,A200K
726,aimcucnfpf,A525F
727,aimcucnfpfwakil,A525L
728,aimi,A500I
729,aimohylkt,A542T
730,aimohylktpernyataan,A542N
731,aimyce,A520E
732,aimyceini,A525I
733,aing,A520G
734,aingbalik,A521K
735,aingbekasi,A521I
736,aingklo,A522O
737,aingmah,A525H
738,aingnos,A522S
739,aingpersib,A521B
740,aingsunda,A522A
741,aini,A500I
742,aink,A520K
743,ainquranisearch,A526H
744,aintjaehyunn,A532N
745,aipda,A130A
746,aiptu,A130U
747,airasia,A620A
748,airberkualitas,A612S
749,airbersih,A612H
750,airbnb,A615B
751,airborn,A615N
752,airbusa,A612A
753,airdots,A633S
754,airesdo,A623O
755,airesdodan,A623N
756,airforcejustdoit,A612T
757,airin,A650N
758,airinairin,A650N
759,airinrachmidiany,A652Y
760,airlangga,A645A
761,airlanggahartarto,A645O
762,airliur,A640R
763,airpods,A613S
764,airpurifier,A611R
765,airtahitinuifr,A635R
766,airterjun,A632N
767,airterjunkilatapi,A632I
768,ais,A200S
769,aisyiyah,A200H
770,aiyuu,A000U
771,aj,A200J
772,ajaa,A200A
773,ajaaa,A200A
774,ajaaaa,A200A
775,ajaaaaa,A200A
776,ajaaaaaa,A200A
777,ajaaaaaaaaaaa,A200A
778,ajaaaaamiin,A255N
779,ajaaaajauh,A200H
780,ajaaabalik,A214K
781,ajaaagak,A222K
782,ajaaamiin,A255N
783,ajaaas,A220S
784,ajaaaskenapaaa,A222A
785,ajaaaudah,A230H
786,ajaagausah,A222H
787,ajaaiyaa,A200A
788,ajaajan,A250N
789,ajaamudik,A253K
790,ajaanapa,A251A
791,ajaasekarang,A222G
792,ajaasi,A220I
793,ajaasono,A225O
794,ajaaw,A200W
795,ajabacot,A212T
796,ajabalek,A214K
797,ajabalik,A214K
798,ajabener,A215R
799,ajaburu,A216U
800,ajabye,A210E
801,ajacepet,A221T
802,ajacepetan,A221N
803,ajacintaku,A225U
804,ajacuman,A225N
805,ajad,A230D
806,ajadah,A230H
807,ajadaripada,A236A
808,ajadeh,A230H
809,ajadi,A230I
810,ajaga,A220A
811,ajagak,A222K
812,ajagausah,A222H
813,ajagk,A222K
814,ajah,A200H
815,ajahari,A260I
816,ajahati,A230I
817,ajahayuk,A220K
818,ajaheh,A200H
819,ajahh,A200H
820,ajai,A200I
821,ajaiyo,A200O
822,ajajangan,A252N
823,ajajauh,A200H
824,ajajngan,A252N
825,ajajug,A220G
826,ajakalo,A224O
827,ajakebanyakan,A221N
828,ajakelamaan,A224N
829,ajakemars,A225S
830,ajakenapa,A225A
831,ajakenpa,A225A
832,ajakin,A225N
833,ajaknp,A225P
834,ajaknpa,A225A
835,ajakok,A220K
836,ajakono,A225O
837,ajakontol,A225L
838,ajalah,A240H
839,ajalahbisa,A241A
840,ajalahsekarang,A242G
841,ajalo,A240O
842,ajaloskeeeeeeee,A242E
843,ajalu,A240U
844,ajamati,A253I
845,ajamudik,A253K
846,ajamutualan,A253N
847,ajan,A250N
848,ajangakak,A252K
849,ajangapain,A252N
850,ajangasioraproduksi,A252I
851,ajangga,A252A
852,ajanggak,A252K
853,ajani,A250I
854,ajanih,A250H
855,ajanitip,A253P
856,ajanoooh,A250H
857,ajanyusahin,A252N
858,ajaok,A220K
859,ajapadahal,A213L
860,ajapadahalkan,A213N
861,ajapegi,A212I
862,ajapergi,A216I
863,ajaplease,A214E
864,ajaplis,A214S
865,ajaprgi,A216I
866,ajapulang,A214G
867,ajapulng,A214G
868,ajarantidak,A265K
869,ajarhasil,A262L
870,ajarin,A265N
871,ajarinbg,A265G
872,ajasabtu,A221U
873,ajasana,A225A
874,ajasanalu,A225U
875,ajasaya,A220A
876,ajasekarang,A222G
877,ajasi,A220I
878,ajasih,A220H
879,ajasiii,A220I
880,ajasiikut,A222T
881,ajasiknp,A222P
882,ajasinapa,A225A
883,ajaskrg,A222G
884,ajaskrng,A222G
885,ajasono,A225O
886,ajasonoooo,A225O
887,ajasudahh,A223H
888,ajatetaplah,A231H
889,ajatolong,A234G
890,ajattapareng,A231G
891,ajaudah,A230H
892,ajawkw,A220W
893,ajawoelah,A240H
894,ajawoi,A200I
895,ajawoy,A200Y
896,ajax,A220X
897,ajaxamsterdam,A225M
898,ajay,A200Y
899,ajaya,A200A
900,ajayauda,A230A
901,ajbalik,A214K
902,ajcg,A222G
903,ajdah,A230H
904,ajdh,A230H
905,aje,A200E
906,ajeajg,A220G
907,ajebynmzb,A215B
908,ajedh,A230H
909,ajee,A200E
910,ajeeee,A200E
911,ajeeeemusnah,A252H
912,ajega,A220A
913,ajege,A220E
914,ajeiye,A200E
915,ajepegi,A212I
916,ajesana,A225A
917,ajg,A220G
918,ajgaamiin,A225N
919,ajgbalio,A221O
920,ajgbener,A221R
921,ajgbgst,A221T
922,ajgburuan,A221N
923,ajgbutuh,A221H
924,ajgcepat,A222T
925,ajgcepet,A222T
926,ajgcepetan,A222N
927,ajgcpt,A222T
928,ajgdari,A223I
929,ajgg,A220G
930,ajggagal,A224L
931,ajggara,A226A
932,ajggari,A226I
933,ajggausa,A222A
934,ajggaush,A222H
935,ajggelud,A224D
936,ajggggg,A220G
937,ajgggggvirus,A221S
938,ajggidah,A223H
939,ajggih,A220H
940,ajggk,A222K
941,ajggsama,A222A
942,ajghati,A223I
943,ajgih,A220H
944,ajgjauh,A220H
945,ajgjng,A225G
946,ajgkok,A222K
947,ajgloe,A224E
948,ajglu,A224U
949,ajgmantok,A225K
950,ajgngaleh,A225H
951,ajgojok,A222K
952,ajgpergi,A221I
953,ajgperginyanya,A221A
954,ajgpulang,A221G
955,ajgsana,A222A
956,ajgskrg,A222G
957,ajgsono,A222O
958,ajgsusahin,A222N
959,ajgtai,A223I
960,ajgudah,A223H
961,ajgvirus,A221S
962,ajgwoilah,A224H
963,ajgy,A220Y
964,ajh,A200H
965,ajha,A200A
966,ajhaaaa,A200A
967,ajhblm,A214M
968,ajhdgfrecu,A232U
969,ajhdgfrecupemain,A232N
970,ajhkasar,A222R
971,ajib,A210B
972,ajibalikpapan,A214N
973,ajibarang,A216G
974,ajifisir,A212R
975,ajifisirditengah,A212H
976,ajig,A220G
977,ajigg,A220G
978,ajiglau,A224U
979,ajigmangkat,A225T
980,ajiindonesia,A253A
981,ajiinkemrd,A252D
982,ajiinkemrdmenghimbau,A252U
983,ajijakarta,A226A
984,ajing,A252G
985,ajingprgi,A252I
986,ajining,A252G
987,ajisantoso,A225O
988,ajiyogyakarta,A222A
989,ajj,A200J
990,ajja,A200A
991,ajjiyltgre,A243E
992,ajjwecby,A221Y
993,ajjwecbyintinya,A221A
994,ajkdfkxvqg,A223G
995,ajkdfkxvqgpasien,A223N
996,ajknpa,A225A
997,ajlk,A242K
998,ajlmycbhv,A245V
999,ajlmycbhvsiap,A245P
1000,ajmakasih,A252H
1001,ajnnnet,A253T
1002,ajo,A200O
1003,ajqlpc,A224C
1004,ajr,A260R
1005,ajrmana,A265A
1006,ajrt,A263T
1007,ajru,A260U
1008,ajs,A220S
1009,ajskrg,A222G
1010,ajujvzcbze,A212E
1011,ajujvzcbzecpr,A212R
1012,ajunpx,A251X
1013,ajuta,A230A
1014,ajvyqygm,A212M
1015,ajwa,A200A
1016,ajznvmr,A225R
1017,ajznvmrsaat,A225T
1018,ak,A200K
1019,aka,A200A
1020,akaaan,A250N
1021,akaann,A250N
1022,akaannga,A252A
1023,akademia,A235A
1024,akademibisnisdigital,A235L
1025,akademisiutm,A235M
1026,akadnikah,A235H
1027,akadnya,A235A
1028,akakakakakak,A200K
1029,akalbudiborobudur,A241R
1030,akalsehat,A242T
1031,akalsehatri,A242I
1032,akangak,A252K
1033,akangilyaas,A252S
1034,akanka,A250A
1035,akanmaafkan,A255N
1036,akann,A250N
1037,akanpln,A251N
1038,akansamakah,A252H
1039,akaowkawokwwo,A200O
1040,akap,A210P
1041,akasa,A220A
1042,akaun,A250N
1043,akb,A210B
1044,akbardulu,A216U
1045,akbp,A211P
1046,akcrkopa,A226A
1047,akcrkopahimbauan,A226N
1048,akdikasih,A232H
1049,akdncias,A235S
1050,akdnciassahabat,A235T
1051,akeh,A200H
1052,akela,A240A
1053,akesehatannya,A223A
1054,akew,A200W
1055,akfif,A210F
1056,akgceubv,A222V
1057,akgceubvyang,A222G
1058,akh,A200H
1059,akhadinta,A235A
1060,akheratcoba,A263A
1061,akheratsana,A263A
1062,akheratt,A263T
1063,akhi,A200I
1064,akhiratpulang,A263G
1065,akhire,A260E
1066,akhirewes,A262S
1067,akhirmu,A265U
1068,akhirnyaaaaaa,A265A
1069,akhirnyaakhirnya,A265A
1070,akhirnyakalian,A265N
1071,akhiroh,A260H
1072,akhirpekan,A261N
1073,akhirzaman,A262N
1074,akhla,A240A
1075,akhlaaakk,A240K
1076,akhlaaakkvurus,A241S
1077,akhlakanjing,A245G
1078,akhlakapa,A241A
1079,akhlakdasar,A243R
1080,akhlakdiam,A243M
1081,akhlakdsar,A243R
1082,akhlakgada,A242A
1083,akhlakgak,A242K
1084,akhlakk,A240K
1085,akhlakmksut,A245T
1086,akhlaknah,A245H
1087,akhlakpergi,A241I
1088,akhlakprgi,A241I
1089,akhlakvirus,A241S
1090,akhlaq,A242Q
1091,akhlaqpergi,A242I
1092,akhmad,A253D
1093,akhri,A260I
1094,akhrnya,A265A
1095,akhyar,A260R
1096,akhyarbekerja,A261A
1097,akhyarnasution,A265N
1098,akibar,A216R
1099,akibatcorona,A213A
1100,akibatcovid,A213D
1101,akibatdirumahterus,A213S
1102,akibatlockdown,A213N
1103,akibatviruscorona,A213A
1104,akibatviruscoronasaat,A213T
1105,akimalamtvone,A254E
1106,akivitas,A213S
1107,aklhak,A240K
1108,akmj,A252J
1109,akn,A250N
1110,aknshfni,A252I
1111,aknshfniberama,A252A
1112,ako,A200O
1113,akohuantz,A253Z
1114,akohuantzpak,A253K
1115,akoni,A250I
1116,akouseko,A220O
1117,akousekodiisolasi,A223I
1118,akpiheihsg,A212G
1119,akpiheihsgwarga,A212A
1120,akpol,A214L
